,text
11079,"Not sure why #teabaggers would care about Nelson Mandela, being that he's one of 'them' if you know what I mean. #teaparty #tcot"
426, pussy shit ^
3717,Im sippin hot tea bitch
10867,Lmao RT Yo a cooned out nigger boy
1129,These hoes don't get me in my feelings one bit.
14140, lmao that hashtag had me dying princess hoe needs to get a Twitter lol
5054, shuddup hoe
2258, so when a certain season comes around it's time to be a hoe
15537, sos are trash !
12022,Sis said go to sleep I said bitch it's our b day I ain't sleeping &# ;&# ;&# ;
5193," Dudes taking ""selfies"" aint cute. .... ya pussies"
16207," Mary had a juicy clam, Was always good to go Little touch of boated man And she began to flow #HallmarkNostraCollecti&# ;"
12498," I tell a bitch, go and get my name tatted on her spine so I can feel good when I'm hittin it from behind"
2238, momma dee ain't loyal. you ain't pose to tell his main bitch bout his side bitches &# ;
13152,guess I will mess with it later! not sure what else to do! maybe trash it! lol!!! not yet maybe after I when the lottery!
15826," In Anglo-Saxon calendars, November is considered the first day of winter - 'Winter's Day': "
13529, Twitter was fye when niggas used to go in on Trending Topics&# ;now its just recycled tweets and hoes screaming they want loy&# ;
2506,"damn I have nothing to tweet,nothing to complain or bitch about ): lol"
3221,I tld that hoe wrongs dnt make a rite now she wanna sing
1201, yeah people know he's not trash but his game is limited and it showed late in games against Portland
8233,Hate dat hoe
6369, &# ; Big bird has spoken &# ; I was weak then I &# ;!
2431, u want me to panda express so someone. Can break up the like fuck stick to plan and go to Plano get that bitch out your blood
13613,Sorry fo da rant. It make me mad and ashamed to be colored. I wish I be white so y'all would like me
16209,I live for two-bite brownies
1320,RT I don't work for pussy... + the code of a real man
8731," ok, I'll sink to your level... you're a special kind of bitch aren't you? "
3027,GOOD Music &gt;&gt;&gt;&gt;&gt; Young Money fags
2443," &# ;&# ; this isn't tea anymore "" How do bitches ""Peep everything"" but still getting cheated on something not addin&# ;"
15868,&# ; show a lotta love to my sisters tho but these bitches so predictable.&# ; Im in trouble
6071,I slam duunkk hoes cuz I can't lay up
14607, Most relationships end because bitches wanna take advice from their lonely ass single friends! &# ;&# ;&# ;
4598,""" Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
15603,Megatron must've fucked Stafford bitch or something.. He will not throw my mans the ball.
4549,This lit bitch jayonna in the class im an aide in is SOOO FUNNY
8431, karma is a bitch
445,Lol niggas out here saving hoes &# ;&# ;
1139,i hate hoes.
13921,Damn Kaepernick is trash man
12374,"bitches corny af you claim to be happy but cry everyday, ooh iight where they do that? hmmmm"
3094,fuck deeeez bitches
10535, My mind is so clear a bird just crashed into the side of my head.
285, bitch. Again?
550,She said pop can u make it rain I said bitch I'm a water bearer I bring da flood I'll make you drown
8517,Some of y'all females undercover hoes
931,Throw that flag bitch you ain't the real Bush!!
12185,I tried calling my sorry ass cousin for her th bday. But the hoe ain't answer like always. She too big time these days lol
10227,I fuck bitches &# ;&# ;&# ;&# ;&# ; better watch yah hoe &# ;&# ;&# ;&# ;&# ;
977,hillbilly bone-bo-bone-bo-bone bone
2116,You better work bitch
7649, Cant the Yankees make some last weeks moves??
2760,Ibuki&# ;s shaved pussy fingered and fucked before her tight little rosebud of an ass is&# ;destroyed 
7472,i'm also looking to hire full time bitches
15356,""" Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking hot sox and legs"
11173, &# ; these hoes ain't loyal &# ; 
6350,Only the strong survive and that nigga a pussy
4822,"No one understands how much it pisses me off when people use the word ""retard""."
16058, LOL! That was a cyber bitch slap for sure!
2303, your a big yute to be having slits in your brows my darg lol drop it out
8708, #HolySpirit God still share HIS #Secrets Amos : blessings #Jesus
7925,I be lying in got theses bitches like u on my fuckin mind... but I be really focus just on this money!!
297,If you don't say thank you after someone holds the door open for you you're a bitch
5795,bitch u kno my game tight
1215,#Yankees Nice bounce back Kay. Gotta keep this going!
3610," you so fucking nasty. You got held to the wrong pussy. I'm telling , you bet not ever kiss me again!! I'm breaking up w| u!"
9327, smd bitch
8036, This bitch has a death grip on this niggas balls. Smh 
2573,I ain't a killer but don't push me. Revenge is like the sweetest joy next to getting pussy
2038," Hey, I don't always go there. Sometimes, these three crazy bitches and one suave MFer trick me into going with them"
13305,&# ;&# ;&# ;&# ;&# ; swear to God bitch I'm bouta delete my twitter account 
3982,"Like I said... fuck a LeBron. His fan base, bandwagons, dick riders, &amp; loyal ass eaters. I don't like bitch niggas &amp; those that love one."
2158, thats why the hoes love her...they can relate to being lonely &amp; depressed lol
5810,In order to be a real nicca you gots to be REAL nicca!
467," not sure. I think most women have self hate therfore collectively ""women are bitches"" becomes their campaign and men follow"
1464,Two horny guys take turns beating the shit out of a tight teen pink&# ;pussy 
1531,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.
670," It baffles me how people talk the upmost trash about someone.. Then turn around and be ""close"". Smh people probably do it&# ;"
5209,All I ever want is for someone to love me as deeply and devotedly as Charlie Kelly loves the waitress.
1278,The birds and the bees &# ;&# ;
1281, bitch boys
8460,&# ; &# ;Yass bitch Yass &# ;&# ; Too soon? &# ;&# ;
2744,"Confident in one way, pussy in another. So strange"
8520,"Somebody please choke that fucking retard that keeps yelling ""mashed potatoes"". What a tool! #PGAChampionship"
1144,&# ; Cavs trash.. Heat trash.. Smh&# ;pat gotta make trades
973,""" i'm hungry but ionn wanna spend my money on food&# ;""Broke hoe problems &# ;&# ;&# ;&# ;"
1553," Texting bitches at : , making their wish come true."
1870, shit trash
8236,These hoes worried bout the wrong things in life
1156," When dykes hear ""ladies free before "" "
5983, &# ; Wake up in the morning give me head bitch &# ;&# ;&# ;
8031,Y se acab&# ;!! Mexico wins - ! That's my team bitches &# ;&# ;&# ; #VIVAMEXICO
1360,I just fucked an albino. It was weird because it was like a white body impersonating a black voice....... like Iggy Azalea
7200," ""She's really nice when you get to know her!"" = She's a bitch but you'll get used to it."
11722,I'm up hoe
3318,Lilly just tried to climb up a tree after a bird and completely failed oh my god &# ;
6282, Yo this freezing cold shit so Lel n for the birds it crazy
932,I have a bitch face and a bitch voice to match it so its kinda hard making friends.
7061," I don't know, I'm hoe-less, so I don't know where they congregate"
14410," Are you in London this evening? Well ex-Iron Maiden member, Tony Moor, will be busking outside Balham train station from &# ;"
7786, all I heard was I'm a bitch nigga
14752, Ugly bitch prolly so cockeyed she lookin at the dick and balls up close at the same time while suckin at the same time
15244, #FoxNews projects that Wyoming Senator Mike Enzi will defeat Democratic challenger Charlie Hardy. #Election 
6320, Approximately / in one crash. There wasn't supposed to be that many members of a seal team on one bird
426, how long after the name change will al memorabilia w/redskins name be deemed racist and therby illegal?
10088,Damn those shiner rock those bud light platinum and that ciroc
14148, Still waiting for Charlie Baker to take the stage in Swampscott. #wcvb 
822,All these faggot fell asleep on me
7037,My bitches get them Christians nigga
5705,"New show announced in Lutsen, MN at Papa Charlies on December , "
5034,Gucci mane on a bitch
11671, you lil stupid lil bitch she ain't fuckin with you (bug Sean voice)
16550, your voice mail little bitch ass nigga 
152,I bent yo bitch over that's why you mad these niggas broke that's why I laugh
12896, your what's wrong with the white race you fuckin coon slaying piece of poop please die alone
14407,Currently being hit with the jig. Word.
16130," "" tbh but a niggah can't have a normal convo with someone lmao""hoes will be hoes Brian lol"
3106,Chris bosh made danny green his bitch last night
7842,Ray Rice is a bitch &amp; his wife is stupid for staying by his side.
13406,I&# ;ll gladly be a victim Then im a felon A bitch over lbs riding ur face is attempted murder &# ;&# ;
10329,&# ; Miss you pussy
16028,Don't kiss these hoes in the mouth. Unless you have to.
7866,Everyone that says #LetsMakeItAwkward is a queer. #JustMadeItAwkward
2592, bitch nigga &# ;
14039, shut up lizard faggot nigger cunt
2131, #NudesAreMyLife omfg that's mine faggot
7957," A couple &# ; is ""A couple"" &# ; Not ""A couple &amp; one"" &# ;&# ; Not ""A couple &amp; some"" &# ;&# ;&# ;&# ; Not ""A couple &amp; plenty"" &# ; &# ;&# ;&# ;&# ;&# ; No hoes No &# ;"
8726,Cus you gt d hoes
9481,gay ass fags 
16043,Grow up bitch
4286,Charlie is so adorable. 
1287, best O-Lineman is a rookie. It's him and a bunch of retards I wouldn't trust with a potato gun.
11858," he's the ""fuck her right in the pussy"" guy"
6995, I have hoes lmfao
11185,What would yall do?.....I would act like one of them nd act like we lookin for the same bitch lmao 
564,"pussy ass people with guns and knifes, foh i appreciate the people still willing to throw hands ^_^"
9198,"Welcome to our land of dispossession! Check out the evil, racist whitey sitting on steps etc. ""Reconquista, Woo Hoo!!"
15785, thats why we had regular season losses...... #you #are #retarded
726,Is that a hawk? What the fuck kind of bird is that?
491," Republicans Want to Yank Food Stamps from the Hungry: May , ... prg #P "
7010, pussy
8334," You got bitches, and I don't have niggas &# ; ... I want you."
13301, yes i like dick and i hate bitches. who am i now?
9860,pussy causes wars.
13833, hello you are now official big time pussy
1010," the older i get the less i give a fuck &# ;&# ; , beef &# ; ? bitch please &# ; loosing friends? bitch bye &# ;&# ; drama ? ill pass &# ;&# ;"
12795,""" Wish I had a bae &# ;"" You got all the hoes tho"
3210, Yall bitches don't know how to be friends &# ;&# ; 
2088,bad bitch from lansing....she could be a model...shes a model...
2570,""" you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway "
4051,"You a hoe if you ever ""fstow"" after midnight"
2904,&# ; &# ;I&# ;m afraid of commitment&# ; -A hoe&# ;
8360,"If luke hemmings really thinks they're trash, I MUST BE FUCKING DIRT BC YOU BOYS ARE BEAUTIFUL DAMMIT"
10803,Ur fat ... Not thick... It's a difference bitch
3574," That band is white trash, and only white trash would buy that album."
2143,I got no respect for hoe shit
6701,And I was like yeah bitch
7936,Damn they act like Bron tore his ACL! Toughen up bitch! Lol
7886, Dick will have bitches selling their own mothers soul.. Inconsistent dick at that. Dick that they know isn't staying.
2688,"' I took the bitch down In the set , yo bitch get around in the set , I dicked the bitch down in the set , yo... "
7258," If racial minorities weren't criminally inclined, they wouldn't have so much to worry about. Act your color, race traitor!"
15132,Wow fucken Bradley sucks ass. And his coach said this niggah can play for Barcelona hahahahahaha
531,Hating on me? Then bitch what's good?
2917, Lilith Lee &# ; Hot blonde teen fucks her tender pussy with a&# ;dildo 
10427,"RT "" This shit for the birds . &# ;&# ;"
10172, that kids a fag
6097," Call me old fashioned, but I'm sewn together with magic and birds."
101,Can't stand the Yankees but Jeter hitting a home run in his final at bat in NYC would be cool. Getting beaned would be better!
2838, I forgive all u hoes/girls
3142,Some bitches curve game be too serious
8200,U on the hit list to bitch kill yo self
1601, YG threw a pool party and wore pants with chucks. His sole purpose of throwing that party was to fuck bitches out there
2123,Bruh. pt. jaxon killed this hoe too last night while we was sleep. 
4808, &# ; &# ;Fuck the skinny bitches in the club!&# ; - #ANACONDA 
10038, Happy Birthday pussy. Have a good one
15100,I hear the birds in the summer breeze; I drive fast; I am alone at midnight.
14818,&# ; I swear if I see any snow tomorrow.... bruhh you sound like a basic white bitch
13747, says the scrawny nigger.
5571," I didn't mock anything! Was asked I believed in Noah's arc and said no, how is that mocking any religion? Opinion that's all"
6782,Hardly ever sober bitch I party till it's over.
10819,I am what u said I am but am ain't no bitch
8204," I'm just kidding, I'm not a fucking faggot"
1359,Hanging with daney and ari today !!! &# ;&# ;&# ;&# ; my bitches !
237,&# ; Going dumb on this essay&# ;&# ; bitch you sad.
6081,Follow ah bitch on ig tho inkkofrosess
3368, Noooo let me tell yall .... Some bitches in baltimore be ratchetttttt .
2364, Richard Grenell: WaPo's Greg Sargent mocks voter ID and 'proves point' of proponents 
12873," ur a wack bitch who sells her pussy for $ . , lives with her mom then was homeless cut the lies&# ; "
10311,is it ghetto to grease yo scalp at work
132,""" Hi bitch No bitch Bye bitch"" "
981," if yo girl let them in, she a hoe...she belong to the world, why u cuffing her"
11764,Except I used to be super tan and now I'm yellow/pale lol...
3207,"Fuccn yo bitch last night she say ""you the nigga!!'"
10166, &# ; I got hard dick for all dez bitches. I get all they numbers I don't call dez bitches.&# ; LMAO RT
10384,"Accept your flaws and imperfections because that's what makes you, YOU! See I'm a fuck, small dick faggot with parents who don't love me."
1788, Lees hoe een gepeste jongen zich probeert te verdedigen. Ingezonden brief Volkskrant. #pesten 
12272,"In class still drunk from last night and this broad is doing a presentation on Chipotle, bitch can I live #tease #feedme"
15625,#OnlyInAMichaelMyersMovie bitch is running a hundred meter dash on this niqqa WHOS ACTUALLY TAKING HIS TIME WALKING &amp; u still get killed
1895," "" Makem eat my ass since eating pussy ain't major nomore &# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ;"" &# ;&# ;"
6339, Equality niggah
11206,I know you seeeeen my faceeeee gon send a bitch maa wayyyy
13144, guns are fucking corny put down your assault rifles and knuckle up.. i wanna go hand to hand with all the NRA pussy ass spoke ...
3107, bitch probably deserved it lol
8523,""" ""Stay beautiful you bitch"""""
6351,You knows dat once you white bitches has da black cock on yo uptight white asshole you wants it again and again and again
234, You a faggot if you use Uber because real niggas drive drunk
13102, lol fag
1894,first thing to do when i wake up: sell my hoe
4889,I jus wanna live good stay fresh and fuck bad bitches! &# ;&# ;
1794,Niggas deserve better bitches
163,"Seattle Mayoral Election this year. A choice between a bunch of women, non-whites, and faggots/fag lovers. "
5121,Hunkie is resorting to dick kicks
1221,Ruley a bitch ry
14781, you're a bitch
8993, both of y'all pussy boa!
12878, If my tweets offend you: . stop being a sensitive pussy . Fuck your feelings
15351,&# ; Where do all the foreskins go when they circumcise a guy?&# ; the Foreskin Fairy takes them after you put them under your pillow
15920, lol tell that hoe grow up ahaha
14212,If you go to the barber shop on Friday you have to your charger and some snacks in that bitch &# ;
12316," I'll never smoke weed with Willy again. He invited that hick, Toby Keith, and I fucking hate that mongoloid!"
67,"I hope you wrapping it up! Give that pussy a break! All them niggas you fuckin, never been on a date &# ;"
7236, what's this chinks email? I'm moving to China and slicing his throat
16583,What ever happened to the Teen Titans of my day and why must they mock me with this Teen Titans Go?
4613,&# ; no bitch hurry up lol&# ;im so hungry I can't focus&# ;
7976, other than those the university and the white black and red ones .. The rest trash anyway. They just making shit up now
441, bitch I'm not coming no more you said your making plans !
1920, Lmaoo That's a legal tackle faggot Seriously? 
1249,"RICK TOLD YALL TO GO BACK AND KILL'EM ALL! Yall niccas didn't listen, now they are chewing on Bob's leg and shit! Extra, tasty, crispy!"
12531,Where the bad bitches? Huh? Where ya hiding? *Kanye voice*
11035,Phone drier than yo bitch scalp &# ;
13034,If a teacher gave me some pussy in elementary school I got to tell somebody.
16234," Hoes be like ""go talk to one of your hoes"".... I be like ""you are one of my hoes"""
15189,After watching the desolation of smaug I have come to the conclusion that bilbo made all other hobbits look like bitches in LOTR.
13154, yea.. you don't live down here I guess. We still got roofs that aren't fixed from Charlie and Jeanne.
1756,&# ; Y'all bitches switch a roo niggas !!!&# ;&# ;&# ; who the hell
6788,beanies cumming real soon 
10336,"when nino said ""cancel that bitch ill buy a new one"" &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;"
302, these bitches can't do nothin for you.
4843,See bitches ruin sports kobe don't play no damn football. Either you was looking to be mentioned for stupidity or ya momma a hoe. Or both.
11761, First I need some pussy tonight &# ;&# ;
14503," "" &# ; Not looking for love, one day it'll find me. Until then.....&# ;Keep fuckin dese hoes&# ; yolo""&# ;&# ; I ain&# ;"
1446,"Dis niga at da gas station trippin. Tol his bitch "" bitch who dnt wana ride wit a niga n a caddy on s trued up bitch jus shut the fck up lol"
1116, you mean like the Yankees did this year when they prioritized a farewell tour over a playoff run?
2980,&# ; U hella gay u never did&# ; quit subbing fag
4182,""" Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
3371,I'm up and at it before the birds wake up so you can't tell me shit.
2776, Halloween use to be a holiday for kids. It is now National dress like your inner hoe day.
1464,Just saw the baddest bitch in life walking down the street if she didn't have that Aeropostale shirt on I prolly woulda gamed her ass up
10576,""" Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
353,Got ketchup on my swim trunks... Sum bitch
12980,"Sit on my face, M U A H, before i eat da pussy, i say my grace &# ;"
113, pussy
1828,Arroz con pollo
5456, that was no accident lmfao these hoes trynna be lowkey slick...
1844, shut up you stupid bitch
12368, This bitch got a real life hippo as a pet 
7675,stupid loose pussyed bitch
12867, ELI Manning is fucking trash rap
2684, some Mets fan tried telling me Rivera isn't of the best Yankees of all time because he is just a closer. WTF
14450," Ugh, white trash. "
14908,"SMH Maybe they don't wanna be actual whores. ""If you have wet pussy, you shouldn't have a dry purse"""
251, Y'all ain't gots no colored folk on da show. I tinks dats be racist and shit #TheToddShow
3357, sexy bitch
8957,They got David taking out the trash &# ;&# ;&# ;&# ;
9656," Fat hoes always wanna beef with somebody, yall don't need to be around no type of beef"
5569,I'm just salty bitch
15900,Quan stop RT that faggot on my TL
13046,"Country music and rap music both talk about the same basic shit repetitively. Cars/trucks, bitches/women, beer/drugs. Guns lol"
2091,These hoes kno bout me
1698,&# ; my nerves are being worked cos of my monkey &# ;&# ;
12072,"Nah nicca, its to light to be my dark ass lol and.i knowww thats your baby picture lol"
15957,Lmaoo RT &# ; &# ; ur a bitch for not following back &# ;&# ; 
13614,When the ghost picks u up after u dive in the pussy 
8069,Hope you find a bitch with some ass that satisfies ya needs
12701,"Nothing is too spicy. And if it is, ) stop being a fucking bitch ) eat more of it ) cry you fucking pussy"
2598,Short answer: Yes. ~ Sage Grouse Rebellion: Will Obama use two small birds to limit oil drilling in the West? 
2170, I can't be in my twenties stressing over a bitch who playin games. I'm straight lol
951,"money before bitches, bc bitches follow money."
6661,"I told that chick tell the truth, if you the realest bitch i ever met then show me some proof"
7417, pussy x 
4740, Na a young bitch got school &# ;&# ;&# ;
15383, apes
959, I would never trip over a bitch that aint mine &# ;&# ; niggas clowns man
9212, I bet I fuck yo bitch tho
2535,Sometime I wish I wasn't colored
74," I'm rich, bitch. "
4943,"&# ; My sister shittin on you hos once again "" wodeh bout dat action "
2114,Hahahahaa fuckin crow looking bitch
16115, money over the best pussy
8004, bitch
3672,&# ; I smoke like backwoods a day&# ; cop dem bitches by da box woe 
5640, Them hoes come them hoes go it's a revolving cycle &# ;
4728, Not a flagrant lebrons a bitch
12583,""" &# ; "" Shut up zoe"" fight me pussy&# ; for zoe? I'm good, man."" You are good ma'am. Move along now"
1025,"'Scandal' sex scene airs on ABC right after 'It's the Great Pumpkin, Charlie Brown,' making parents angry "
13226, Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.
14686, So this ape can get a MCM but I can't unbelievable... 
2759, What type of eye make-up do redneck women use? NASCARA.
14227," Lol foreal yo RT"" Lmao, I fucks with &amp; real talk, them bitches know h ..."
4671, these niggaz bare backing any and every bitch out here&# ;
5039,I'm just not going to be a bitch to you because we don't speak for reasons. It was a decision and it's done and over with why start shit?
2494, We might have more. Can't really be sure. But some weird little bird said that might be a possibility. Stay tuned. Maybe.
10154,"&# ; Liking all my pictures to get a follow ass bitches &# ;&# ;""&# ;&# ;&# ;"
2994,"' Hoes on my mind , I fuck hoes all the time . #FatTrel"
9256,I been in this hospital since I'm just tryna stay awake for more hrs then I can sip this D'usse and party with the rest of the coons
2313, What is that monkey doing to those poor bottles?
2232, bro that hoe live
2913, lmao bitch shut up
8273,Or continue to be a bitch..... That's cool too
14937,When a hoe tryna get at you while ya girl is looking 
13500, pussy.
7800,Be trippin when I call you hoe but bitch you know I talk like Dat! -- voice
9509, shut up fag
6099, I'ma start a fuck buddies to save lives program. Lol match some dry bitter ass folks up wit some good dick or pussy.
2547, pussy
13751, that damn coach ain't never called back bitch ass
16007,Fuck bitches get money mission complete!
4115," Damn, I got bitches *kanye voice*"
7065, (via 
3870,Hoes be like my niggas can't have no hoes... but that how he meet yo ass!
4180,&# ; Dumb ass bitches&# ; @ me next time&# ;
15542,All the redskins act like te bitch the bitch
5636," MT is paid by white supremacist, they always get a negro to do their dirty work #Fergus&# ;"
2108," ""People congratulate on losing weight for my health, but in reality I lost all the weight so I could fuck hot bitches""&# ;"
9614,Hey bitches I'll be in IC tonight so dial the digits &# ;
13188," Twitter family, I promise to put my tour schedule up today as soon as I have this pussy hustlin girl I pay for service&# ;"
14777,red bone but her pusssy hairlessss
15074,===&gt; All good pussy comes with a price tag
8806, Ununnnn what plans? Text me niggah!!
3129, Bye bitch byeeeee!
7090, Yall ever was In the car with ya moma before and you singing every song come in and she be like bitch you know that sch&# ;
757,It's scientifically proven that no one can not cry at least once while watching Charlie St. Cloud.
14449,Ohh my gawdd i woke up so throwed dis nicca paper slept n my damn car n he threw up n my Shit n i lost my phone smh GM
8719, meth brownies
14047,All my old hoes wana have my baby
9612,"Let her be a hoe, why you stopping her?"
12638, bitch who's playing am not worried about you or your little faget ass friends at vines I know niggas at vines to so wtf u say
9062, Should of been a cork sole why is there no cork on the WTL XI?
16416,"No bitch, I don?t have anything to hide. I just don?t like people looking through my phone.."
3036,Ew I hate when ratchet ass hoes post 'stranger danger' ewww bitch
1615, fuck a closed casket bitch put me with the trees let me rot throw some seeds water me and give me leaves
14528,"Good even-ink, honkies!"
16070,&# ; Fuck her right in the pussy I wish this dude was my grandpa&# ;
6175, Bain wasn't no hoe ass nigga at all
10573,"The funny thing is the daughter never got kicked out on her one night stand, I didn't have the courage to tell her, her mom an official hoe"
9455,I was getting to the business while you was chasing the bitches
9642, I love laying in bed by myself because I have a twin size bed and bitches be takin up / and I ain't havin that
3181,I'm so glad I don't wake up lookin like one those Medusa lookin bitches
13768," "" Meanwhile in Texas: -year-old man facing years to life in prison for $ worth of pot brownies "
5021, lemme guess you wore the hilly hicks sweats/leggings &# ;&# ;&# ;&# ;&# ;&# ;
4488," Wait,wait,wait, The new one or the EP?Son of a bitch Lucky ;)"
13635, hahahah for reals he was like this bitch crazy lol
6602, Jesus walks bitch
12408,Yee boy my yung nicca told me dat waxx
2596, Dont fucks with u hoe
14684,#DegenerateArtist Isn't a bitch walks back his words&gt; Isn't a WITCH who questions a TURD&gt; I'm a GLITCH WHO EVOLVES YOUR ABSURD!!!!!!!!!!!
1386,"Dumb little broad , move the fuck along bitch"
16283, Lol the thirst be so real on dis bitch &# ;
1737,In my years I've supported more niggas and bitches and they kids and well.. my gratitude has died.
4129, whoooo?? Lemme find out a bitch run u haha
4366, And if a bitch can't respect a nigga wit some paper and a fresh pair of bball shorts then she was raised terribly..
5866, eat my pussy&# ;&# ;&# ;&# ;
2683,"Eh bitch!? How about you worry about your own psychotic ass. Looks like you need to ""be saved"" from being a noisy bitch &# ;&# ;&# ; #cantStandUcunt"
1982,Dude why do i have to be such a bitch..? Like i'm confused.
3154,Stupid white people making my posts relevant to they own life #stupid #cousintoucher #honkie #whitetrash #blonde
7341, cause I didn't wanna see your bitch ass
7219, I love me some down ass bitches.
4490,Nobody wit me im on all alone shit so dont think im actin funny when im in my zone bitch
13664,Jealous niggas usually send the hate threw the bitches
14029,What the FUCK? THO? REALLY? The Entire FUCKING #World #MEDIA is has gone #Obama #retarded not to know #medical #science PROTOCOLS? #wuh?
3494, I feel bad for these young girls that are already hoes.
8788,Where all the nd string bitches at?
2930, When hoes feel like their photo didnt get enough favorites 
3491,Power bomb dat hoe
13801," "" Dudes probably just think eating pussy is sucking on pussy lips &# ;"" fse cut it out ;)"
11840,late upload bitches
8240," We hate the Yankees though, right? I feel like I'm really good at hating them."
8226,Got you're bitch panties niagra falling
15835, lol I was bout to say. Shit income tax in I'm Tryna find me a bitch for a couple weeks
10485, why do females think its cute too be rude af all the time and mean for no reason that shit aint cute bitch
2217, Those NBA All Star Jerseys look retarded...They look like the combo of a NFL jersey &amp; a FUBU jersey
12697, get a real hair cut faggot. I served my country in the Marines for years. What have u done.
15696,""" it aint nothing to cut a bitch off """
12004,RT FELLAS TAKE NOTE Eating pussy keeps your lips soft. (;
10824,Dis bitch blowin me man fuck u
15289," You always say we dont love these hoes, yet yo girl a hoe... "
14498, ya girl is a slimy ass hoe. get her under control and tell her to stop spraying bullshit out her mouth all day
9237,"Girls wanna meet a man with plans and ambition and a boy on a ""pussy hit "" mission.."
12796,Broke bitches that talk shit those the ones that I stunt for &# ;
1098,Fuck drama class. This bitch boring as hell
13271, &# ; The bromance between pat and ant is real&# ; fuck that faggot
7630, Ugly hoes be the loudest .. u need to duck off &amp; hide yourself frfr
2358, how she gets all the bitches 
3080, Oh I would've stood up!!! Fall back hoe
14061,I think this nigga retarded G
2110, Why would I be in a relationship theses hoes go still do them &# ;&# ;
11823,"&amp; I keep that bitch on me , it's part of my fashion So nigga see me when you see me , catch me in traffic"
8052,#morningjoe prove him wrong righties! Liberals use facts cons use emotions to make decisions. Facts be damned should be the teabagger motto
6111,"Im trying to take the word ""bitch"" outta my vocabulary , hardest shit ever"
7112,mmm you still a hoe
4632,Pull up on my ex make that bitch mad
5546, When ya broke ONLY real bitches stick around
2302, u calling me a pussy but u not bout shit fuck all this talking let's pop shit off then
16342, I likes dat name. Dem sand niggers needs to know dare place in da pecker order
8230,I would describe work as blaxican.
15772,Friends don't let friends become guidos. #themoreyouknow
10045,&# ; Jealous bitches be like ...'&# ;&# ;&# ;.' &# ;&# ;&# ;&# ;&# ;&# ;&# ;&# ; don't subtweet me hoe
2824,Never bring these hoes to my house cause these bitches talk
16382,"#BlessJesus Amos : - Can two walk together, except they be agreed?"
14105,"the sassy clerk at the post office was curious why I was getting packages from Japan, bitch I'm just buyin toys"
10250, You're a fucking faggot.
13976,I really don't be pressed for bitches on social media... Do I talk to them? yes. Do I want them..... 
14880,This bitch isn't pretty? She's just showing off her body in pictures. She's nasty.
13668,""" pussy"" love it"
16081, come draw and paint with me niggah!
10574," Science, bitch! #TheWalkingDead"
15715,""" Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* "
16112, Never trust a bitch that take quick ass showers!
12109,"""Why would I want to play with some pussy?"" - *DEAD* #SNL"
