,norm
1180,2
205,0
9050,2
5974,1
606,1
6613,0
697,1
1640,2
4526,1
9250,2
9425,0
9838,2
7952,0
5755,2
8334,0
7885,2
2533,2
6997,2
2745,2
5293,0
1461,0
2288,1
717,1
2451,2
8259,2
9546,2
10137,2
9840,1
8295,2
932,2
8126,2
5154,0
1458,2
4681,0
1142,2
3562,0
2760,2
2610,1
3622,2
4194,0
2801,2
221,1
8786,1
6575,2
6171,2
4806,1
4953,2
248,2
2046,2
2690,1
9274,0
7267,2
1108,2
447,2
702,2
9174,1
1323,2
374,2
1068,2
2002,1
8860,2
2327,0
7816,0
923,2
2931,2
9156,2
8769,2
424,1
8907,2
7180,2
2503,2
968,2
690,2
7906,2
8858,2
8892,2
502,2
6823,1
7480,2
494,1
8864,1
755,2
9377,0
2677,2
2119,2
419,2
481,2
2605,0
2509,2
8667,2
3295,2
9357,1
10152,2
1577,2
8226,1
7017,1
2306,0
2494,2
3794,1
3795,2
1801,2
1588,2
1259,2
8510,2
1281,2
9369,2
6216,2
6642,2
2469,2
5519,2
5694,2
5987,2
6639,2
324,0
1026,2
9501,0
6496,1
5997,2
9775,1
6593,1
9746,2
944,2
492,2
3347,2
615,2
7523,2
8104,2
3203,2
3213,2
5513,2
6726,1
1097,0
4350,2
646,0
4884,1
1912,2
5336,2
8619,2
7166,2
2460,0
7713,1
1601,2
9660,1
7607,2
1531,2
1215,2
3360,2
8084,2
1347,2
2202,1
1834,1
6539,2
8190,0
1923,2
2601,2
1656,0
2294,1
1366,2
9009,0
2468,0
8335,2
4955,1
3885,2
9818,1
2397,0
2279,2
9144,2
9324,2
872,0
7615,2
6904,1
1351,2
509,2
2968,1
8413,2
6437,1
2266,1
7809,2
9668,1
2824,2
106,2
206,2
1020,2
1339,2
9958,2
2138,2
1717,0
1961,2
6954,2
815,2
7489,2
9347,2
6194,2
547,0
2419,0
3580,1
2740,2
3546,2
1972,2
8435,1
9805,1
9298,2
10175,2
2579,2
1244,0
7871,2
2248,0
2381,1
10,2
3075,2
8801,2
2342,1
434,0
2749,2
7386,2
1584,1
2295,2
3634,2
3351,2
5724,2
7012,2
4686,2
2869,2
3191,2
9735,2
1483,1
8421,2
8983,2
1283,0
6363,2
7468,1
2700,2
2101,2
476,2
2587,2
4617,2
2579,0
8367,1
9022,0
530,0
7190,1
6269,2
6780,1
2366,2
8810,1
1088,1
688,2
5290,2
1833,2
5491,0
4612,2
1557,2
1382,2
240,0
2683,2
1974,1
2296,1
1145,1
5466,2
6118,2
5849,2
4592,2
2639,0
6784,2
4437,1
7287,0
6079,2
2576,2
2127,2
1714,2
7874,2
3122,2
1233,0
5528,1
1485,2
9503,2
7903,1
3801,2
241,1
3473,2
8767,2
7407,2
3230,1
93,1
1434,2
9523,2
2447,1
176,2
713,0
2638,1
4205,0
3521,2
6680,1
2601,2
438,1
2157,2
1492,2
712,0
431,1
3428,0
1506,0
4276,2
8602,1
9979,2
379,1
1864,2
7210,2
2606,1
2352,2
1830,0
8634,2
5333,2
6576,2
5564,2
4465,1
551,0
1220,2
4057,1
8692,2
167,2
2576,2
2684,2
3515,2
479,1
9599,2
4450,2
2635,2
1647,2
9631,0
4873,2
1060,2
5898,2
9696,0
8834,2
4483,2
754,2
2502,2
6960,2
1530,2
9405,2
2712,2
2655,2
5179,2
461,1
6609,1
1162,2
4962,0
1005,2
1639,2
2413,2
4116,2
4613,2
528,2
878,2
6275,2
9806,0
769,2
5845,2
7670,2
3915,2
4210,0
2919,1
1899,0
2242,1
3949,2
429,2
8127,0
86,2
9255,2
9401,2
2788,2
2700,2
865,1
623,2
9734,2
2163,2
5870,0
9873,0
5759,2
780,1
277,2
6080,2
9507,2
1860,2
8203,2
9024,2
7967,2
8760,2
809,2
5369,1
7975,2
9577,2
1715,0
2997,1
2362,2
9058,2
1216,2
619,2
4131,2
4601,2
806,1
4838,2
9674,1
7132,2
9567,2
2285,2
237,2
1892,1
4401,1
6818,2
9551,2
6808,2
2217,2
1174,1
6887,2
1419,2
5549,2
4005,2
3373,2
2951,2
8256,1
2958,2
6719,2
822,1
8530,2
6266,2
2641,0
6106,1
5063,1
9605,1
2188,2
6831,2
1528,2
540,1
1127,2
8220,2
7355,2
9257,2
2040,1
1427,0
4391,2
2414,1
7105,2
2318,0
4698,1
2756,2
9664,2
9253,1
6249,2
2661,2
7160,2
9541,2
436,2
6511,1
134,2
4099,1
5135,1
7143,2
8686,2
2943,2
2708,2
2771,2
7902,1
3624,2
1562,2
6803,2
8695,2
9451,2
2634,0
9038,2
6763,2
4263,1
9711,0
5478,1
244,1
9328,1
227,0
7170,1
3223,1
123,2
6225,2
3222,1
2058,2
571,0
653,2
2346,2
9271,2
8592,2
6259,2
6051,1
1988,1
609,2
7537,2
3474,2
6520,1
6433,0
1940,2
2243,1
8757,2
7859,2
3852,1
3768,1
2663,1
9882,2
4379,2
8311,2
7993,2
8758,2
2320,2
2926,1
3485,2
1920,2
3806,1
263,2
3714,2
6147,1
2429,2
1971,0
2143,1
6498,2
8835,2
6905,2
174,2
4944,0
4041,2
5309,1
1249,0
1202,0
2034,2
6914,2
1307,0
2679,2
3238,0
9422,2
3275,2
8443,2
2889,2
2030,1
4166,2
5188,1
9027,2
663,0
183,2
8379,1
6525,2
6182,1
7527,2
2343,2
9970,2
2099,2
6032,1
493,2
637,1
1843,2
7945,2
6166,2
2070,0
8318,2
2533,2
8967,2
5915,2
1436,2
530,2
2661,2
7734,2
5830,0
9161,2
678,2
9483,2
6595,2
4579,2
2760,1
7039,2
3994,2
2153,2
4222,1
1485,2
4282,2
4772,2
2581,2
9244,2
4856,2
1959,2
3831,2
3678,2
7843,1
8419,2
1711,0
4817,2
5657,2
3049,2
2317,2
8987,2
3605,2
8,2
411,2
6948,2
8064,2
9841,2
4493,2
2329,1
2508,2
4150,2
8487,2
2622,1
1711,2
7465,0
6448,2
94,1
2755,1
9239,0
1869,2
1579,2
694,1
858,2
5300,2
6591,2
1601,2
4,0
5533,2
2124,1
420,2
2650,2
4785,2
2052,0
2977,0
2139,2
515,1
2156,1
1325,1
6439,2
6973,2
2585,1
912,2
1025,2
7909,2
1744,2
4384,2
10262,0
449,2
2096,1
5487,2
3246,0
698,0
153,2
1677,1
828,2
9797,2
1042,0
641,1
4014,2
9732,1
1625,1
3593,2
563,1
2462,2
5170,2
1001,1
2091,1
9721,2
687,2
5863,2
8066,2
1401,2
8011,2
85,2
2237,2
1075,0
436,2
1037,1
2059,2
1272,2
1340,2
4498,2
6772,1
2574,2
2472,2
6201,2
6587,1
9160,2
4469,0
3471,0
325,2
3045,2
8012,2
6570,2
6327,2
4580,1
5715,2
6739,2
1877,2
6369,2
2664,0
1987,2
639,1
2777,0
4565,1
9286,2
5663,2
2721,2
5412,1
214,2
8846,0
6339,2
445,2
229,1
8742,2
627,0
737,2
625,2
1956,1
2464,1
9278,2
6885,2
3578,2
1922,0
2436,2
9880,2
3531,2
8046,0
2550,2
2016,2
135,2
803,2
2628,2
2788,1
6457,2
1313,2
9654,2
1769,2
8579,1
2631,2
2094,2
1887,2
976,2
5429,1
8395,0
2596,2
9114,0
10094,0
9950,2
9143,2
747,2
7966,2
2469,2
8564,1
141,2
1469,2
5338,2
9676,1
211,2
701,0
137,2
777,1
6169,1
8850,0
4124,2
2413,2
6057,2
2305,2
3851,2
3848,2
9609,2
7098,2
1415,1
6308,0
4832,2
3036,0
8357,2
3110,2
339,2
4757,2
3199,2
6289,1
6153,2
9325,2
2244,2
2720,2
9836,2
689,2
1786,2
136,1
4064,2
1349,2
3796,2
2562,2
1917,2
8349,2
9108,1
5036,2
3454,2
8949,2
5704,2
863,2
2582,2
2781,1
7369,2
4755,0
380,2
3062,2
8402,2
2656,2
303,0
394,2
2290,0
4658,1
9021,1
9594,1
3607,2
91,2
4652,2
154,2
394,2
1039,2
4497,2
1404,2
2182,0
1219,2
1232,1
3798,2
9630,2
9216,1
7181,2
9372,2
2588,2
7853,2
6083,2
121,2
752,2
7773,2
1761,2
8400,0
9740,0
3251,2
6226,1
2490,2
249,2
850,1
1783,0
1136,2
5396,2
3231,1
4556,2
4914,1
1749,0
749,1
41,2
4460,2
9769,2
2738,1
2550,0
3836,2
2036,2
223,0
6707,2
2451,1
1808,2
5840,1
443,0
7423,2
8800,2
9084,2
9265,1
1472,2
2295,1
3193,2
8493,2
1962,2
7935,1
709,2
2240,0
3398,1
9107,2
5714,2
5867,2
17,2
5215,2
1405,1
775,2
2123,2
4011,2
242,2
271,1
886,2
2460,2
7049,2
675,2
122,2
2726,0
2561,2
1742,0
3621,2
2527,0
8275,2
1706,2
3657,1
5139,2
1099,0
3587,2
5164,2
1955,1
7710,2
3047,2
6579,2
2399,2
1251,2
9720,2
5576,1
2238,2
5192,0
7074,2
2340,2
1931,2
8076,2
3787,0
247,2
4687,2
7420,2
467,2
4208,1
3367,1
8976,2
729,2
1942,1
3559,2
2299,0
8086,2
7417,2
5697,2
2265,2
5093,2
6788,2
4351,1
9350,2
364,2
6306,1
2622,2
1042,2
4608,2
2006,2
5275,2
3048,2
7433,0
2666,2
5620,1
10310,0
6264,1
6729,2
2785,1
2514,2
977,1
2444,1
1749,2
3477,2
971,2
6648,0
4424,0
6720,2
4074,1
81,1
8698,1
1683,2
3539,2
1066,0
6621,2
5381,2
3828,0
6537,2
2077,2
8231,2
267,2
783,2
462,2
7373,0
2763,0
2875,2
2008,1
7958,2
1641,1
200,0
2542,2
2483,2
1617,2
3324,2
5303,1
1175,2
132,1
7744,2
1443,0
2973,2
9142,1
1241,2
2976,0
7360,1
4825,0
5548,2
10299,0
4,2
1279,2
1156,2
1879,2
3947,2
1053,2
1874,2
6661,2
608,2
681,2
3147,2
2328,2
9148,2
6700,2
2753,1
953,2
836,2
2178,2
2816,2
596,2
5721,2
2855,2
9195,2
10112,0
8276,0
3155,2
4415,2
5394,2
5238,2
2752,2
2239,1
9844,1
1898,2
9106,0
524,2
7830,2
4259,2
5149,2
3861,2
411,2
9352,1
6293,0
4138,1
4835,2
10171,2
2653,2
1039,2
9815,0
7704,2
1859,2
7305,2
7588,2
8229,1
8101,1
9685,2
353,2
9639,2
840,2
3427,2
4584,2
8856,2
2757,2
682,2
3030,1
9196,2
240,2
9666,2
7595,2
9761,2
6350,2
2160,2
3385,2
3310,1
1171,2
252,0
451,1
8450,1
722,1
9881,2
2081,2
1801,1
9185,2
9693,2
6596,2
1845,2
987,2
512,2
8105,2
819,2
3516,2
5960,2
9049,2
1350,2
7943,1
834,2
349,2
9959,2
9726,2
6663,2
8009,2
2319,2
6552,2
4545,0
9823,1
2264,2
3651,1
2445,2
10120,2
4179,2
3784,2
4969,2
1642,2
1293,2
2696,0
235,1
2414,2
5832,2
2654,2
2338,2
1052,1
632,1
9467,2
118,0
4339,2
4224,2
4003,2
801,1
8899,1
341,0
5469,0
6549,2
9741,2
784,1
2323,2
6631,0
7063,1
2679,2
579,2
7873,0
1133,2
6028,2
437,2
375,2
1958,2
3387,2
1280,2
3255,2
580,2
83,2
19,2
1580,2
7120,2
6154,2
5888,1
4521,2
3089,2
2848,2
2121,2
5792,2
1629,1
8947,1
4095,2
6753,2
634,2
5424,2
627,1
6375,2
2010,2
66,2
60,2
6530,2
124,2
8507,0
620,2
8870,0
514,2
7230,2
5680,2
6782,2
4421,2
7060,0
935,2
9636,2
2456,2
3855,2
7043,2
8384,2
9152,1
9055,1
2684,2
654,2
3857,2
652,2
2032,2
2380,0
7266,2
568,2
746,2
1910,2
1917,2
4848,1
1888,2
8687,1
261,2
1816,2
2507,1
4994,2
6270,1
6078,2
3579,2
2112,2
5376,2
5580,0
3782,2
5712,1
5465,2
5672,2
8094,2
9375,0
2598,2
2277,2
540,1
4776,2
2195,2
5912,2
2611,0
1814,2
2588,2
2653,2
6846,1
1090,2
2877,2
9464,2
8708,1
920,2
9095,2
9866,2
7611,2
2708,2
1508,2
2949,2
822,2
1519,1
1181,2
3267,2
1050,0
5232,2
1024,2
8958,2
274,2
2640,0
2145,2
4147,2
1651,0
2196,2
2627,2
2706,2
9199,0
8806,2
230,1
8903,2
9960,2
5803,2
908,2
4909,2
2726,2
2741,1
6736,2
491,2
1078,1
7645,2
6785,2
3462,2
9295,0
443,2
7485,2
8129,1
7251,0
5859,2
9242,2
2879,1
2125,1
9349,2
144,2
8221,2
1342,0
1754,1
5677,2
1062,2
232,0
4539,2
7006,0
4082,0
9210,1
9119,2
2594,2
7864,1
1160,2
7147,1
4398,2
1555,2
2767,2
1681,2
1473,2
4397,1
2594,1
8135,0
3991,1
7327,2
6781,2
1509,2
4440,1
2219,2
3094,1
3772,1
10151,2
2608,2
7208,0
649,2
2644,2
7677,2
3916,0
6014,2
2774,2
5218,2
2312,1
346,2
4411,0
1848,0
8676,2
4578,1
2026,2
722,1
7602,1
2297,0
3434,1
3265,1
8982,2
377,2
9817,2
8543,2
6202,2
4495,1
1021,2
1116,2
812,1
9130,0
6323,2
1751,2
413,2
3939,1
460,2
8401,0
1139,2
7458,2
813,1
1255,1
5703,2
8651,1
1530,2
495,1
253,1
3820,2
7643,2
6120,0
4015,1
1406,0
3699,2
9798,2
2665,0
2761,1
4676,2
1807,1
1045,2
2529,2
9167,0
1213,1
9538,1
7050,2
8563,2
5935,2
9155,2
7437,2
6848,2
1688,2
1685,2
7524,2
725,0
5123,2
3518,1
6584,2
6203,0
2553,2
5678,0
6842,0
926,0
5556,2
2407,2
1689,2
3034,1
5880,2
6011,1
304,2
4672,2
4232,2
7481,2
5906,2
697,2
2055,2
2302,1
5736,2
8828,1
583,2
1119,0
8003,2
3466,2
3945,2
1148,2
855,2
607,2
4311,1
8762,1
1851,0
1806,2
4636,2
4042,2
1233,1
10042,2
5090,2
5851,2
2516,2
4062,1
2022,1
8861,2
4677,1
1134,1
6765,1
2653,2
236,2
2536,2
3081,2
2524,2
1202,2
5791,1
3595,1
345,2
6544,2
1032,1
2466,0
2017,0
1514,1
3686,2
9842,2
4508,2
6667,1
9427,1
873,2
4068,2
8108,2
2017,1
3001,0
694,1
5235,2
8386,2
7070,2
3156,2
2554,2
6110,1
759,2
5602,2
4888,1
1723,2
7525,1
2087,1
6779,1
1332,2
2385,2
5153,2
4492,2
4371,1
3311,2
6675,2
293,1
3007,2
7401,2
4236,2
937,0
1839,2
8978,2
7333,2
7308,1
1806,2
9530,2
5219,0
282,2
2037,1
1842,2
3416,1
1282,2
6740,2
6200,2
8106,1
245,2
9460,2
636,2
921,0
1878,2
1572,0
3218,2
1770,2
1082,1
9266,2
4911,2
4927,2
7794,2
6253,2
7447,2
2910,2
633,2
5841,2
1193,2
5095,1
1929,1
4743,2
1847,2
1989,2
6370,1
8032,2
2151,2
3050,1
2236,2
3148,2
210,1
2325,0
8685,2
848,2
279,2
8759,2
5656,1
202,2
9804,1
1950,2
6554,2
1053,2
4345,2
1235,2
2978,1
6474,2
6365,2
7622,2
3570,2
2337,1
8505,1
72,2
7377,2
1462,2
9168,2
3033,2
6716,1
8682,2
3669,2
6325,2
1198,2
6815,1
3554,2
6994,2
8249,0
2590,2
2164,2
9018,2
336,2
5458,2
335,1
7777,0
6531,2
2948,2
1650,2
6737,2
6972,2
934,2
7156,2
6983,2
4389,2
9549,2
5733,2
2184,2
7338,2
8216,2
5757,2
7463,2
565,2
9593,1
2387,2
4187,2
306,2
1286,2
3932,2
8024,2
2111,1
932,2
8517,1
7047,2
36,2
156,2
2512,1
2641,2
2564,0
2613,2
1830,2
1150,2
1054,2
337,0
9121,2
10128,0
6577,2
20,1
6174,2
2255,2
833,2
1442,1
1782,1
3021,2
1713,2
3256,2
1392,0
1088,1
8666,2
3252,1
6116,2
3550,1
614,2
5239,2
1643,2
4560,2
5420,2
7273,2
1224,2
5167,2
6522,2
7565,1
0,1
8057,2
562,0
933,1
737,2
3084,2
6900,2
1210,2
7411,2
3653,2
2287,2
292,0
1916,2
2711,2
446,2
1329,1
4482,2
590,2
2173,2
857,2
2730,2
1366,1
1066,0
8389,2
4329,2
3867,2
3984,2
39,0
372,2
1832,1
32,2
26,2
4211,0
955,2
2680,1
7493,2
6371,0
3053,2
4829,0
2957,1
1205,2
365,2
8194,2
5482,1
6373,2
2683,2
2618,2
4348,2
3894,2
1672,2
4359,0
8159,2
4021,2
10149,2
9076,2
9909,2
6258,1
959,0
8836,2
4121,1
8613,2
1140,0
1113,2
95,2
4333,2
5107,2
910,0
1863,2
7,0
9052,0
8360,2
3124,2
403,2
8405,1
3792,2
2607,2
931,2
7376,2
177,1
9930,2
6101,2
9376,2
8813,2
7974,2
131,2
7569,1
9810,2
7295,2
7824,0
4108,2
7826,2
1213,2
1710,2
69,2
8291,0
2732,2
5060,2
5291,2
9150,0
155,1
6872,2
6074,0
414,0
2322,1
8103,2
9391,2
7832,2
711,1
1744,2
7393,0
7072,2
6907,0
5373,1
2876,0
9564,2
2410,2
1818,2
1494,1
1926,2
1309,2
2573,0
7286,1
9284,2
990,2
3674,2
9915,2
6005,2
3802,2
3243,2
418,1
7359,2
8027,1
9317,1
10173,2
7550,2
7936,2
802,2
2126,2
6813,2
2772,2
741,2
493,2
638,2
3904,2
6752,2
4001,0
1418,0
4134,1
8485,2
6672,2
155,0
6041,2
824,2
2734,2
6709,2
2743,2
3856,2
5884,1
5563,1
9858,2
508,2
7122,2
837,0
1525,0
3639,2
2776,2
2330,2
3472,2
203,2
2434,2
2180,1
8549,1
4152,2
9326,2
2693,0
5100,0
1547,2
9183,1
4827,2
4900,2
4218,2
3556,2
9388,0
6690,0
9936,2
2090,2
1244,2
1117,2
5868,1
9935,2
4292,1
1594,0
7215,2
140,1
9914,2
745,2
657,0
2210,2
1179,1
4434,0
2624,2
1720,1
9939,2
4841,2
1609,0
612,2
393,2
4950,0
8546,2
3643,0
9431,2
2200,1
2351,1
1794,2
4272,1
6429,1
1362,2
1800,2
5088,2
2355,2
3157,1
3713,2
2380,0
1616,2
5312,2
3174,2
2782,2
2428,2
9829,1
4162,1
187,2
2675,0
6487,2
1925,2
943,2
4174,2
2751,2
10157,2
41,1
6123,2
4745,2
3171,2
2670,1
3862,2
1290,2
6361,1
4386,1
5252,2
553,2
9341,2
8347,1
2762,2
2612,0
6641,2
2145,2
4027,2
5936,1
6322,1
966,1
974,2
2491,2
2275,2
6400,2
2381,0
2363,2
7990,2
8814,2
6029,2
184,2
6459,1
3140,2
2923,2
1924,2
743,2
1729,2
6543,2
1147,2
5854,2
3177,1
6921,2
1070,2
6320,2
376,0
4047,2
2780,2
6198,1
1260,2
3402,2
875,1
9221,0
1941,2
6778,2
2727,2
736,2
1452,2
9147,2
2440,2
3202,2
8756,2
4126,2
8324,2
6463,2
2088,1
1641,0
844,2
456,2
819,2
8313,2
88,2
2618,2
510,2
5539,2
873,2
7825,1
2461,2
3077,1
2361,0
8746,0
6590,2
6814,2
9110,2
9475,1
8415,2
9012,0
632,2
1424,2
1915,2
7057,0
6025,2
7174,2
1724,2
714,2
1777,2
592,2
217,2
6825,2
4443,2
1271,2
2329,1
8788,2
4037,0
8715,0
8473,2
2657,1
8469,2
2147,2
6824,2
2193,2
7085,2
753,2
5775,0
4100,1
894,2
306,2
1297,1
3422,2
1957,1
2420,2
3173,2
1722,2
2189,1
6349,0
4621,2
401,1
786,2
4837,2
2433,0
2671,2
1857,0
1172,2
9765,1
609,2
294,1
558,1
5214,2
2405,2
6122,2
3504,2
6927,2
4133,2
2642,2
3262,2
7088,2
7332,2
2563,2
2316,2
4972,2
1815,1
3680,2
7032,1
1805,1
9469,0
8375,0
3283,2
6925,2
1349,1
1983,1
967,2
1398,2
6892,2
10084,0
188,2
1498,2
1829,0
5049,1
9128,1
7971,1
2161,2
9384,2
2739,2
9961,2
2953,2
701,2
1379,1
4925,2
2664,1
6344,2
5946,2
4593,2
2332,2
10348,0
9933,2
9852,2
4896,2
1788,2
4197,2
8081,1
101,0
3756,2
2422,1
430,2
775,2
5836,0
7030,2
9337,2
1456,2
7413,2
3117,2
1043,2
1615,1
7200,1
6563,2
945,0
5287,2
9752,1
1401,2
7835,1
1702,2
9999,2
8930,2
6853,1
1992,0
2349,0
5740,2
5423,1
4691,2
9258,2
1978,2
1874,2
3052,2
885,2
2616,2
7488,1
5045,1
3020,2
2391,2
8893,0
2999,2
247,2
3858,2
9686,2
7238,0
8431,2
6790,2
8131,1
2796,2
2866,0
8580,2
1531,2
2442,2
6993,2
5743,0
3513,2
7239,2
9054,2
1587,2
1144,0
8348,1
1377,2
9576,1
8476,2
5567,2
9083,2
1256,0
4585,0
4987,2
8701,2
3288,2
7927,2
527,1
8397,2
1840,2
1966,2
1069,2
695,2
2570,1
1523,2
298,2
2342,2
3240,2
2303,2
5893,2
6085,2
6910,2
1298,2
9094,2
4340,2
892,2
4426,2
9879,0
4430,2
5251,2
1758,1
2214,2
8763,2
1120,2
2438,2
5037,2
668,2
2603,2
9535,2
6151,2
6455,2
2109,2
2618,2
281,2
668,1
2474,1
279,1
593,2
1605,2
1348,2
58,2
815,1
1027,2
2499,2
246,1
2285,2
4759,2
9091,2
2716,2
478,2
4354,2
1110,2
6413,2
1565,2
8697,1
8693,2
1126,1
3316,2
4904,0
562,2
3359,2
290,2
1381,2
6208,1
1075,2
7923,0
1467,2
7522,2
9560,1
1265,2
4815,1
1614,2
8554,2
6310,2
8452,2
1632,2
3501,1
7869,1
5451,1
405,2
2357,1
1772,2
975,2
8605,0
8237,2
5643,2
275,2
2795,2
537,2
2147,1
1407,0
7288,1
3995,2
7946,2
7231,2
6037,2
9215,1
5600,2
1978,2
3705,2
5892,2
1201,2
1911,2
1111,2
1364,2
7895,2
7948,2
2722,2
1516,2
2133,2
